Código da Instalação de Transporte;Nome da Instalação de Transporte;Nome da Instalação de Gasoduto;Código da Instalação de Gasoduto;Tipo da Instalação do Gasoduto;Nome do Município da Instalação de Gasoduto;Nome da UF da Instalação de Gasoduto;Nome do Operador da Instalação de Gasoduto;Código do Operador da Instalação de Gasoduto;Nome do Carregador que usa a Instalação de Gasoduto;Código do Carregador que usa a Instalação de Gasoduto;Nome do Contrato da Instalação do Gasoduto;Nome da variável;01/01/2021;02/01/2021;03/01/2021;04/01/2021;05/01/2021;06/01/2021;07/01/2021;08/01/2021;09/01/2021;10/01/2021;11/01/2021;12/01/2021;13/01/2021;14/01/2021;15/01/2021;16/01/2021;17/01/2021;18/01/2021;19/01/2021;20/01/2021;21/01/2021;22/01/2021;23/01/2021;24/01/2021;25/01/2021;26/01/2021;27/01/2021;28/01/2021;29/01/2021;30/01/2021;31/01/2021
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Gás de Uso no Sistema;21,84;-11,50;-27,08;-4,22;-11,95;-2,55;-13,48;-12,16;-21,42;-8,99;-12,82;-5,28;-19,03;-14,08;-15,86;-5,01;-11,34;-7,94;-9,28;-16,97;-3,97;-4,95;-31,55;-111,85;109,00;-15,14;-6,13;-17,23;7,68;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Gás Não Contado;21,84;-11,45;-27,08;-4,21;-11,93;-2,54;-13,44;-12,12;-21,38;-8,99;-12,81;-5,26;-18,98;-14,05;-15,84;-4,99;-11,34;-7,92;-9,26;-16,92;-3,96;-4,95;-31,49;-111,85;108,74;-15,13;-6,11;-17,19;7,65;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Perdas Operacionais;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Perdas Extraordinárias;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1816,97;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Desequilibrio Diário;-39,64;-60,70;-11,06;-4,32;28,85;-71,90;5,89;13,63;-56,38;-10,82;-19,07;31,19;34,74;36,76;27,64;23,28;28,88;31,47;29,86;20,54;-35,50;-155,73;105,33;-193,10;1,81;48,84;41,18;-237,18;522,33;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Desequilíbrio Diário Acumulado;-39,64;-100,34;-111,40;-115,72;-86,87;-158,77;-152,89;-139,26;-195,64;-206,46;-225,53;-194,35;-159,61;-122,85;-95,20;-71,92;-43,04;-11,56;18,30;38,83;3,33;-152,40;-47,07;-240,17;-238,36;-189,52;-148,34;-385,52;136,81;136,81;136,81
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Empacotamento;4047,00;3988,33;4004,35;3998,74;4034,34;3959,63;3972,16;3989,93;3950,96;3949,13;3940,01;3971,29;4019,14;4064,35;4104,32;4125,19;4165,41;4199,88;4232,74;4264,44;4227,51;4073,36;4206,08;4124,83;4012,23;4074,01;4113,09;4187,75;4900,91;3081,99;3080,87
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Volume Solicitado;1800,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;1500,00;2240,00;2240,00;2240,00;2240,00;2240,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Volume Programado;1800,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;1500,00;2240,00;2240,00;2240,00;2240,00;2240,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Volume Realizado;1829,32;2188,96;2223,38;2240,88;2267,61;2172,22;2252,58;2247,99;2175,38;2220,99;2205,90;2257,07;2261,44;2271,45;2261,26;2267,39;2274,51;2278,31;2274,55;2256,14;2208,87;2092,72;2130,92;1512,37;2246,99;2281,76;2270,73;2003,50;1030,16;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Alocação;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;87;84;0;0
