Código da Instalação de Transporte;Nome da Instalação de Transporte;Nome da Instalação de Gasoduto;Código da Instalação de Gasoduto;Tipo da Instalação do Gasoduto;Nome do Município da Instalação de Gasoduto;Nome da UF da Instalação de Gasoduto;Nome do Operador da Instalação de Gasoduto;Código do Operador da Instalação de Gasoduto;Nome do Carregador que usa a Instalação de Gasoduto;Código do Carregador que usa a Instalação de Gasoduto;Nome do Contrato da Instalação do Gasoduto;Nome da variável;01/06/2021;02/06/2021;03/06/2021;04/06/2021;05/06/2021;06/06/2021;07/06/2021;08/06/2021;09/06/2021;10/06/2021;11/06/2021;12/06/2021;13/06/2021;14/06/2021;15/06/2021;16/06/2021;17/06/2021;18/06/2021;19/06/2021;20/06/2021;21/06/2021;22/06/2021;23/06/2021;24/06/2021;25/06/2021;26/06/2021;27/06/2021;28/06/2021;29/06/2021;30/06/2021
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Gás de Uso no Sistema;-65,40;-8,40;-15,63;-10,36;-10,94;31,09;-25,02;-17,10;-24,24;-9,49;-0,80;4,04;-10,91;-37,33;0,00;0,00;0,00;0,00;0,00;33,48;-8,91;-7,79;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Gás Não Contado;-64,72;-8,34;-15,55;-10,29;-10,86;30,94;-24,90;-17,01;-23,97;-9,37;-0,79;3,99;-10,84;-36,92;0,00;0,00;0,00;0,00;0,00;33,26;-8,84;-7,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Perdas Operacionais;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Perdas Extraordinárias;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Desequilibrio Diário;-46,10;-241,58;197,69;61,89;-315,93;726,36;-22,84;202,44;-464,92;-658,58;-128,41;-6,63;130,15;381,12;0,00;0,00;0,00;0,00;0,00;629,04;130,03;-602,78;-713,76;0,00;0,00;0,00;1000,18;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Desequilíbrio Diário Acumulado;-46,10;-287,68;-90,00;-28,11;-344,04;382,33;359,49;561,93;97,01;-561,57;-689,99;-696,62;-566,46;-185,34;-185,34;-185,34;-185,34;-185,34;-185,34;443,70;573,73;-29,05;-742,81;-742,81;-742,81;-742,81;257,37;257,37;257,37;257,37
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Empacotamento;2418,97;2174,52;2378,13;2439,47;2126,30;2814,63;2805,82;3014,76;2558,91;1897,19;1756,70;1732,77;1867,87;2278,24;2264,97;2248,79;2237,88;2224,74;2209,79;2799,46;2928,91;2324,90;1599,33;1584,14;1574,59;1561,31;2554,12;2540,69;2528,95;2717,86
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Volume Solicitado;1400,00;1250,00;2240,00;1550,00;800,00;2240,00;2240,00;2240,00;900,00;300,00;800,00;1000,00;1000,00;1100,00;0,00;0,00;0,00;0,00;0,00;1900,00;1300,00;500,00;0,00;0,00;0,00;0,00;1000,00;0,00;0,00;200,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Volume Programado;1400,00;1250,00;2240,00;1550,00;800,00;2240,00;2240,00;2240,00;900,00;300,00;800,00;1000,00;1000,00;1100,00;0,00;0,00;0,00;0,00;0,00;1900,00;1300,00;500,00;0,00;0,00;0,00;0,00;1000,00;0,00;0,00;200,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Volume Realizado;1422,55;1262,02;2240,14;1550,76;801,71;2240,72;2240,89;2241,98;901,15;301,57;801,66;1001,10;1001,97;1101,73;0,00;0,00;0,00;0,00;0,00;1511,18;1265,89;500,23;0,00;0,00;0,00;0,00;1000,18;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Alocação;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;0;0;0;0;100;100;100;0;0;0;0;100;0;0;0
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Pressão Média;72,00;69,60;64,20;65,00;67,40;67,60;74,80;70,30;70,10;66,20;59,80;56,40;59,40;57,80;59,40;59,00;58,60;58,20;57,70;58,90;62,30;57,30;55,20;55,20;57,50;59,50;56,40;61,70;63,20;61,70
700521;Bolívia - Mato Grosso Lateral Cuiabá;Termocuiabá;111565;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Volume Solicitado;2240,00;1250,00;2240,00;1550,00;800,00;2240,00;2240,00;2240,00;900,00;2240,00;2240,00;2240,00;2240,00;2240,00;0,00;0,00;0,00;0,00;0,00;1900,00;1300,00;500,00;0,00;0,00;0,00;0,00;1000,00;0,00;0,00;200,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Termocuiabá;111565;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Volume Programado;2240,00;1250,00;2240,00;1550,00;800,00;2240,00;2240,00;2240,00;900,00;2240,00;2240,00;2240,00;2240,00;2240,00;0,00;0,00;0,00;0,00;0,00;1900,00;1300,00;500,00;0,00;0,00;0,00;0,00;1000,00;0,00;0,00;200,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Termocuiabá;111565;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Volume Realizado;1468,65;1503,60;2042,45;1488,87;1117,63;1514,36;2263,72;2039,53;1366,08;960,15;930,07;1007,73;871,82;720,61;0,00;0,00;0,00;0,00;0,00;882,14;1135,86;1103,00;713,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Termocuiabá;111565;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Alocação;99;99;100;99;99;100;100;99;99;99;99;99;99;99;0;0;0;0;0;99;99;99;98;0;0;0;0;0;0;0
700521;Bolívia - Mato Grosso Lateral Cuiabá;Termocuiabá;111565;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Pressão Média;53,30;51,60;43,10;52,60;51,60;53,30;53,90;56,60;59,70;47,10;42,20;41,40;42,20;45,70;47,70;47,40;47,10;46,80;46,60;52,80;57,90;54,80;38,90;34,60;34,30;34,10;47,70;53,60;53,40;55,40
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;;Gás de Uso no Sistema;-65,40;-8,40;-15,63;-10,36;-10,94;31,09;-25,02;-17,10;-24,24;-9,49;-0,80;4,04;-10,91;-37,33;0,00;0,00;0,00;0,00;0,00;33,48;-8,91;-7,79;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;;Gás Não Contado;-0,68;-0,06;-0,07;-0,08;-0,08;0,14;-0,12;-0,09;-0,27;-0,12;-0,01;0,05;-0,07;-0,41;0,00;0,00;0,00;0,00;0,00;0,22;-0,07;-0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;;Perdas Operacionais;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;;Perdas Extraordinárias;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;;Desequilibrio Diário;-15,50;-11,28;-9,71;-10,91;-8,18;-6,95;-11,00;-10,59;-15,17;-12,63;-12,87;-13,27;-5,96;-8,08;-13,27;-16,18;-10,91;-13,14;-14,95;-5,89;-9,49;-9,03;-11,81;-15,20;-9,55;-13,28;-7,37;-13,43;-11,74;188,92
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;;Desequilíbrio Diário Acumulado;-15,50;-26,78;-36,49;-47,40;-55,58;-62,53;-73,52;-84,11;-99,29;-111,92;-124,79;-138,05;-144,01;-152,09;-165,36;-181,55;-192,45;-205,59;-220,55;-226,44;-235,93;-244,95;-256,76;-271,95;-281,51;-294,79;-302,15;-315,58;-327,32;-138,40
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;;Empacotamento;2418,97;2174,52;2378,13;2439,47;2126,30;2814,63;2805,82;3014,76;2558,91;1897,19;1756,70;1732,77;1867,87;2278,24;2264,97;2248,79;2237,88;2224,74;2209,79;2799,46;2928,91;2324,90;1599,33;1584,14;1574,59;1561,31;2554,12;2540,69;2528,95;2717,86
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Volume Solicitado;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Volume Programado;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Volume Realizado;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;200,31
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Alocação;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Pressão Média;72,00;69,60;64,20;65,00;67,40;67,60;74,80;70,30;70,10;66,20;59,80;56,40;59,40;57,80;59,40;59,00;58,60;58,20;57,70;58,90;62,30;57,30;55,20;55,20;57,50;59,50;56,40;61,70;63,20;61,70
700521;Bolívia - Mato Grosso Lateral Cuiabá;MTGAS;111566;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Volume Solicitado;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;MTGAS;111566;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Volume Programado;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;MTGAS;111566;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Volume Realizado;15,50;11,28;9,71;10,91;8,18;6,95;11,00;10,59;15,17;12,63;12,87;13,27;5,96;8,08;13,27;16,18;10,91;13,14;14,95;5,89;9,49;9,03;11,81;15,20;9,55;13,28;7,37;13,43;11,74;11,40
700521;Bolívia - Mato Grosso Lateral Cuiabá;MTGAS;111566;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Alocação;1;1;0;1;1;0;0;1;1;1;1;1;1;1;100;100;100;100;100;1;1;1;2;100;100;100;100;100;100;100
700521;Bolívia - Mato Grosso Lateral Cuiabá;MTGAS;111566;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Pressão Média;30,00;29,90;28,80;29,90;29,90;29,90;29,80;29,80;30,00;29,90;30,00;29,90;29,90;29,90;29,10;29,00;29,00;29,10;29,00;29,80;29,30;29,40;29,90;28,90;28,30;28,90;28,50;29,40;29,70;29,30
700543;GASDUC III;;;;;;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;;Gás de Uso no Sistema;13487,19;14573,28;14967,94;12950,99;9826,16;12566,41;10286,88;10293,28;6478,86;5497,39;10130,08;11292,48;11361,26;11610,35;11667,63;14205,81;9786,37;11249,42;7837,31;7503,25;7023,11;9926,07;7697,68;7624,41;5325,30;5580,57;10413,55;6093,79;9934,64;7196,77
