Código da Instalação de Transporte;Nome da Instalação de Transporte;Nome da Instalação de Gasoduto;Código da Instalação de Gasoduto;Tipo da Instalação do Gasoduto;Nome do Município da Instalação de Gasoduto;Nome da UF da Instalação de Gasoduto;Nome do Operador da Instalação de Gasoduto;Código do Operador da Instalação de Gasoduto;Nome do Carregador que usa a Instalação de Gasoduto;Código do Carregador que usa a Instalação de Gasoduto;Nome do Contrato da Instalação do Gasoduto;Nome da variável;01/05/2021;02/05/2021;03/05/2021;04/05/2021;05/05/2021;06/05/2021;07/05/2021;08/05/2021;09/05/2021;10/05/2021;11/05/2021;12/05/2021;13/05/2021;14/05/2021;15/05/2021;16/05/2021;17/05/2021;18/05/2021;19/05/2021;20/05/2021;21/05/2021;22/05/2021;23/05/2021;24/05/2021;25/05/2021;26/05/2021;27/05/2021;28/05/2021;29/05/2021;30/05/2021;31/05/2021
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Gás de Uso no Sistema;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-49,28;-159,94;-22,84;-60,53;0,00;0,00;0,00;0,00;0,00;-190,15;541,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-22,76
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Gás Não Contado;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-46,25;-157,64;-22,68;-59,85;0,00;0,00;0,00;0,00;0,00;-181,73;535,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-22,72
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Perdas Operacionais;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Perdas Extraordinárias;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Desequilibrio Diário;0,00;-26,34;-666,16;-630,40;-581,64;-102,63;0,00;0,00;915,97;829,75;-475,94;-53,14;-475,92;-166,09;0,00;0,00;0,00;0,00;103,38;-89,01;-717,11;0,00;999,50;999,93;0,00;0,00;0,00;0,00;0,00;-203,88;-1019,34
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Desequilíbrio Diário Acumulado;0,00;-26,34;-692,50;-1322,90;-1904,54;-2007,17;-2007,17;-2007,17;-1091,20;-261,45;-737,39;-790,53;-1266,45;-1432,54;-1432,54;-1432,54;-1432,54;-1432,54;-1329,16;-1418,17;-2135,28;-2135,28;-1135,78;-135,85;-135,85;-135,85;-135,85;-135,85;-135,85;-339,73;-1359,07
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;;Empacotamento;3587,75;3561,41;2884,15;2242,94;1651,07;1537,32;1526,53;1518,22;2430,63;3298,06;2967,63;2930,44;2503,99;2326,85;2315,37;2308,95;2302,53;2289,31;2673,94;2231,13;1504,04;1492,54;2486,37;3577,71;3568,63;3558,57;3547,51;3531,95;3523,59;3314,08;2415,18
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Volume Solicitado;0,00;0,00;200,00;100,00;150,00;0,00;0,00;0,00;900,00;1000,00;500,00;950,00;500,00;500,00;0,00;0,00;0,00;0,00;300,00;900,00;0,00;0,00;1000,00;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;700,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Volume Programado;0,00;0,00;200,00;100,00;150,00;0,00;0,00;0,00;900,00;1000,00;500,00;950,00;500,00;500,00;0,00;0,00;0,00;0,00;300,00;900,00;0,00;0,00;1000,00;1000,00;0,00;0,00;0,00;0,00;0,00;0,00;700,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Volume Realizado;0,00;0,00;202,25;106,03;150,72;0,00;0,00;0,00;915,97;1006,56;511,63;949,98;501,27;502,18;0,00;0,00;0,00;0,00;300,74;897,10;0,00;0,00;999,50;999,93;0,00;0,00;0,00;0,00;0,00;0,00;703,66
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Alocação;0;0;100;100;100;0;0;0;100;100;100;100;100;100;0;0;0;0;75;82;0;0;100;91;0;0;0;0;0;0;88
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Pressão Média;79,00;78,50;75,40;73,40;71,00;70,30;69,90;69,50;63,80;67,20;67,90;65,30;65,50;65,50;66,30;66,30;65,90;65,50;84,50;84,50;67,00;67,40;63,50;84,50;84,50;86,20;87,10;87,60;87,70;87,30;80,10
700521;Bolívia - Mato Grosso Lateral Cuiabá;Termocuiabá;111565;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Volume Solicitado;0,00;0,00;1600,00;900,00;900,00;900,00;0,00;0,00;0,00;0,00;950,00;950,00;1000,00;500,00;0,00;0,00;0,00;0,00;197,35;900,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1900,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Termocuiabá;111565;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Volume Programado;0,00;0,00;1600,00;900,00;900,00;900,00;0,00;0,00;0,00;0,00;950,00;950,00;1000,00;500,00;0,00;0,00;0,00;0,00;197,35;900,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1900,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Termocuiabá;111565;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Volume Realizado;0,00;26,34;868,41;736,43;732,37;102,63;0,00;0,00;0,00;176,81;987,57;1003,12;977,19;668,27;0,00;0,00;0,00;0,00;197,35;986,11;717,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;203,88;1723,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Termocuiabá;111565;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Alocação;0;100;99;99;99;91;0;0;0;94;99;99;99;98;0;0;0;0;96;99;99;0;0;0;0;0;0;0;0;97;100
700521;Bolívia - Mato Grosso Lateral Cuiabá;Termocuiabá;111565;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Pressão Média;73,60;73,50;67,30;54,30;42,60;34,00;33,70;33,70;39,40;64,70;63,20;59,00;53,80;45,90;43,80;43,80;43,70;43,40;74,30;74,30;38,80;34,20;43,20;74,30;74,30;74,10;73,90;73,60;73,40;72,70;62,20
