Código da Instalação de Transporte;Nome da Instalação de Transporte;Nome da Instalação de Gasoduto;Código da Instalação de Gasoduto;Tipo da instalação de Gasoduto;Nome do Município da Instalação de Gasoduto;Nome da UF da Instalação de Gasoduto;Nome do Operador da instalação de Gasoduto;Código do Operador da Instalação de Gasoduto;Nome do Carregador que usa a Instalação de Gasoduto;Código do Carregador que usa a Instalação de Gasoduto;Nome do Contrato da Instalação de Gasoduto;Nome da Variável;01/02/2022;02/02/2022;03/02/2022;04/02/2022;05/02/2022;06/02/2022;07/02/2022;08/02/2022;09/02/2022;10/02/2022;11/02/2022;12/02/2022;13/02/2022;14/02/2022;15/02/2022;16/02/2022;17/02/2022;18/02/2022;19/02/2022;20/02/2022;21/02/2022;22/02/2022;23/02/2022;24/02/2022;25/02/2022;26/02/2022;27/02/2022;28/02/2022
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;;Gás de Uso no Sistema (mil m³);4,6;-18,7;-22,09;-11,2;-9,59;-48,3;-48,58;-22,62;-27,4;-7,96;-56,91;-8,83;-30,4;-25,69;-25,37;-5,96;-10,63;-20,28;-22,93;-112,35;39,1;-25,88;-31,85;-30,62;2,99;18,2;-56,99;-46,7
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;;Gás não contado (mil m³);4,53;-18,45;-21,82;-11,02;-9,45;-47,81;-47,79;-22,26;-26,98;-7,84;-56;-8,72;-30,08;-25,31;-25,07;-5,86;-10,48;-20;-22,59;-111,16;38,38;-25,52;-31,37;-30,18;2,95;17,93;-56,4;-46,08
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;;Perdas Operacionais (mil m³);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;;Perdas Extraordinárias (mil m³);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;;Desequilíbrio Diário (mil m³);-61,69;-65,22;-6,92;-32,74;-52,88;-36,5;-3,77;-48,97;-63,95;-9,09;-17,76;-34,59;-29,03;-23,49;-18,32;-126,84;-1060,63;558,81;350,93;-72,83;-488,48;267,89;193,22;-15,87;-20,1;-16,23;-10,9;-5,19
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;;Desequilíbrio Diário Acumulado (mil m³);-61,69;-126,91;-133,83;-166,58;-219,45;-255,95;-259,72;-308,69;-372,64;-381,73;-399,49;-434,08;-463,11;-486,6;-504,92;-631,75;-1692,38;-1133,57;-782,64;-855,47;-1343,95;-1076,06;-882,84;-898,71;-918,8;-935,03;-945,93;-951,12
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;;Empacotamento (mil m³);3261,08;3184,23;3170,61;3113,98;3035,94;3024,39;3032,07;2969,14;2897,46;2861,27;3124,08;3498,84;3475,83;3443,17;3423,26;3264,52;2181,72;2990,36;3330,08;3855,28;3284,45;3546,56;3737,2;3718,71;3692,54;3624,78;3647,42;3658,8
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Solicitado (mil m³);2240,22;2240,22;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;1173,91;2745,65;2600;2191,3;1780,44;2500;2400;2191,3;2219,24;2191,3;2191,3;2191,3
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Programado (mil m³);2240,22;2240,22;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;1173,91;2745,65;2600;2191,3;1780,44;2500;2400;2191,3;2219,24;2191,3;2191,3;2191,3
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Realizado (mil m³);2199,69;2187,58;2251,6;2218,61;2194,68;2200,02;2244,32;2207,83;2207,02;2245,26;2243,97;2229,67;2243,59;2244,22;2243,91;2127,27;1204,81;2820,58;2617,13;2202,47;1794,46;2529,11;2462,42;2248,14;2244,97;2250,41;2240,44;2247,27
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Alocação (%);100;100;100;100;100;100;100;100;100;100;89,6;83,92;100;100;100;100;100;91,52;100;81,2;100;100;100;100;98,74;100;100;100
