Código da Instalação de Transporte;Nome da Instalação de Transporte;Nome da Instalação de Gasoduto;Código da Instalação de Gasoduto;Tipo da instalação de Gasoduto;Nome do Município da Instalação de Gasoduto;Nome da UF da Instalação de Gasoduto;Nome do Operador da instalação de Gasoduto;Código do Operador da Instalação de Gasoduto;Nome do Carregador que usa a Instalação de Gasoduto;Código do Carregador que usa a Instalação de Gasoduto;Nome do Contrato da Instalação de Gasoduto;Nome da Variável;01/01/2022;02/01/2022;03/01/2022;04/01/2022;05/01/2022;06/01/2022;07/01/2022;08/01/2022;09/01/2022;10/01/2022;11/01/2022;12/01/2022;13/01/2022;14/01/2022;15/01/2022;16/01/2022;17/01/2022;18/01/2022;19/01/2022;20/01/2022;21/01/2022;22/01/2022;23/01/2022;24/01/2022;25/01/2022;26/01/2022;27/01/2022;28/01/2022;29/01/2022;30/01/2022;31/01/2022
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;;Gás de Uso no Sistema (mil m³);0;0;-14,7;-24,34;-25,8;-8,58;-13,46;-14,97;-16,99;-14,78;-53,86;-14,25;4,24;-7,5;-13,18;-35,75;-27,11;-14,39;-21,25;-22,47;-7,79;-14,35;-11,78;-33,12;-5,83;-18,99;-24,19;-12,25;-21,85;-12,83;-14,16
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;;Gás não contado (mil m³);0;0;-14,39;-24,02;-25,4;-8,49;-13,33;-14,78;-16,85;-14,61;-53,16;-14,05;4,19;-7,4;-13,04;-35,4;-26,77;-14,22;-20,95;-22,18;-7,68;-14,16;-11,69;-32,72;-5,75;-18,74;-23,86;-12,08;-21,56;-12,7;-13,96
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;;Perdas Operacionais (mil m³);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;;Perdas Extraordinárias (mil m³);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;;Desequilíbrio Diário (mil m³);0;0;-523,37;51,7;57,09;-191,72;-326,86;-643,22;46,37;7,57;-380,48;-453,85;-661,99;-360,33;51,55;144,92;144,07;127,27;42,29;-2,36;-16,26;-95,53;-2,53;554,74;-686,74;384,74;186,93;-52,24;-59,54;297,69;456,95
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;;Desequilíbrio Diário Acumulado (mil m³);0;0;-523,37;-471,67;-414,59;-606,3;-933,17;-1576,39;-1530,02;-1522,45;-1902,93;-2356,78;-3018,77;-3379,1;-3327,56;-3182,63;-3038,56;-2911,29;-2869;-2871,36;-2887,61;-2983,14;-2985,67;-2430,93;-3117,67;-2732,92;-2545,99;-2598,23;-2657,77;-2360,07;-1903,13
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;;Empacotamento (mil m³);3789,71;3776,01;3242,23;3290,56;3339,21;3438,29;3455,35;3426,75;3471,36;3467,78;3112,16;2893,5;2201,95;1822,38;1864,93;2226,19;2370,62;2487,32;2521,6;2514,23;2477,59;2367,22;2357,95;2918,63;2207,11;2583,21;2765,48;2695,72;2630,73;2920,31;3358,79
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Solicitado (mil m³);0;0;600;2050;2200;2300;2250,54;1600,54;2240;2240;1803,83;1600,11;1400;1700;2100;2200;2200,65;2200,65;2100,65;2050,65;2050,54;2050,54;2240,22;2790,43;1500,65;2440;2240,87;2000;2000;2400,11;2700,11
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Programado (mil m³);0;0;600;2050;2200;2300;2250,54;1600,54;2240;2240;1803,83;1600,11;1400;1700;2100;2200;2200,65;2200,65;2100,65;2050,65;2050,54;2050,54;2240,22;2790,43;1500,65;2440;2240,87;2000;2000;2400,11;2700,11
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Realizado (mil m³);0;0;615,14;2099,01;2252,7;2047,03;1913,76;1603,94;2297,41;2255,95;1812,37;1609,02;1402,29;1703;2108,69;2210,38;2212,81;2201,94;2103,97;2060,54;2054,95;2059,22;2250,01;2804,43;1505,85;2451,48;2254,83;2013,61;2013,98;2417,06;2718,76
