Código da Instalação de Transporte;Nome da Instalação de Transporte;Nome da Instalação de Gasoduto;Código da Instalação de Gasoduto;Tipo da instalação de Gasoduto;Nome do Município da Instalação de Gasoduto;Nome da UF da Instalação de Gasoduto;Nome do Operador da instalação de Gasoduto;Código do Operador da Instalação de Gasoduto;Nome do Carregador que usa a Instalação de Gasoduto;Código do Carregador que usa a Instalação de Gasoduto;Nome do Contrato da Instalação de Gasoduto;Nome da Variável;01/03/2022;02/03/2022;03/03/2022;04/03/2022;05/03/2022;06/03/2022;07/03/2022;08/03/2022;09/03/2022;10/03/2022;11/03/2022;12/03/2022;13/03/2022;14/03/2022;15/03/2022;16/03/2022;17/03/2022;18/03/2022;19/03/2022;20/03/2022;21/03/2022;22/03/2022;23/03/2022;24/03/2022;25/03/2022;26/03/2022;27/03/2022;28/03/2022;29/03/2022;30/03/2022;31/03/2022
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;;Gás de Uso no Sistema (mil m³);27,55;-73,79;1,34;-38,02;-14,86;-0,39;-29,44;-13,99;-7,77;12,18;-13,32;-17,15;-9,7;6,9;-22,07;-16,74;-7,22;-8,1;-22,7;-35,38;-22,7;-11,74;-7,39;-8,37;-25,09;-16,97;-5,85;-8,53;2,79;-10,26;-2,2
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;;Gás não contado (mil m³);27,24;-72,76;1,32;-37,5;-14,63;-0,38;-28,96;-13,75;-7,59;11,9;-13,13;-16,82;-9,56;6,8;-21,78;-16,46;-7,1;-7,97;-22,36;-34,95;-22,39;-11,55;-7,28;-8,24;-24,64;-16,72;-5,78;-8,4;2,74;-10,1;-2,17
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;;Perdas Operacionais (mil m³);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;;Perdas Extraordinárias (mil m³);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;;Desequilíbrio Diário (mil m³);11,87;-91;-241,14;-528,89;-16,82;-51,68;-670,24;-368,83;38,78;85,66;183,96;175,3;177,05;122,71;-62,77;-138,93;-6,27;-59,29;-21,65;-0,71;-2,76;16,35;47,52;46,09;40,93;28,37;27,21;30,27;42,45;27,47;9,18
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;;Desequilíbrio Diário Acumulado (mil m³);11,87;-79,13;-320,27;-849,16;-865,98;-917,67;-1587,9;-1956,73;-1917,95;-1832,29;-1648,33;-1473,04;-1295,99;-1173,28;-1236,05;-1374,98;-1381,25;-1440,54;-1462,2;-1462,91;-1465,66;-1449,32;-1401,8;-1355,71;-1314,78;-1286,41;-1259,2;-1228,93;-1186,47;-1159,01;-1149,83
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;;Empacotamento (mil m³);3925,64;3876,59;3600,8;3078,18;3041,63;3367,99;2690,6;2303,46;2315,07;2350,02;2517,3;2669,15;3337,63;3421,35;3350,55;3189,43;3151,31;3063,85;3236,82;3441,25;3430,49;3422,38;3443,19;3463,79;3489,71;3501,4;3506,84;3511,17;3515,47;3516,03;3489,05
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Solicitado (mil m³);2191,3;2191,3;2191,3;1700;2191,3;2191,3;1500,65;1500,65;1500,65;1700;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Programado (mil m³);2191,3;2191,3;2191,3;1700;2191,3;2191,3;1500,65;1500,65;1500,65;1700;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3;2191,3
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;1717813;AMBAR;1645009;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Realizado (mil m³);2252,89;2160,97;2029,06;1743,16;2245,29;2209,56;1537,67;1540,65;1538,41;1742,72;2244,27;2244,89;2244,83;2245,55;2195,83;2109,11;2250,03;2154,25;2187,78;2200,29;2201,01;2213,9;2244,12;2243,98;2244,65;2243,88;2246,86;2245,75;2259,65;2243,95;2248,6
