ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;LOCALIZAÇÃO;CONSUMO
2000;AGO;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;4344,206
2000;SET;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;5063,35
2000;JUN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;4845,8491
2000;JUL;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;5175,3411
2000;DEZ;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;4709,7401
2000;JAN;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;0
2000;OUT;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;5423,4411
2000;NOV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;4746,609
2000;DEZ;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;1322
2000;JAN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;3089,647
2000;OUT;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;1179
2000;NOV;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;1041
2000;ABR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;3141,402
2000;MAI;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;3493,223
2000;FEV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;3471,029
2000;MAR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;4188,73
2000;FEV;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;0
2000;JAN;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;1163,0371
2000;FEV;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;1073,8725
2000;NOV;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;0
2000;DEZ;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;0
2000;MAI;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;964,7063
2000;JUN;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;1045,653
2000;MAR;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;1165,1659
2000;ABR;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;1010,9547
2000;MAI;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;0
2000;JUN;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;0
2000;MAR;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;0
2000;ABR;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;0
2000;SET;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;0
2000;OUT;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;0
2000;JUL;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;0
2000;AGO;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;0
2000;NOV;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;MAR;0
2000;DEZ;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;MAR;0
2000;SET;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;MAR;0
2000;OUT;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;MAR;0
2000;MAR;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;MAR;0
2000;ABR;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;MAR;0
2000;JAN;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;MAR;0
2000;FEV;REGIÃO NORDESTE;MARANHÃO;GÁS NATURAL;MAR;0
2000;MAR;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;MAR;0
2000;ABR;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;MAR;0
2000;JAN;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;MAR;0
2000;FEV;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;MAR;0
