ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;LOCALIZAÇÃO;DISPONÍVEL
2000;AGO;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;40493,7073
2000;SET;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;33923,5523
2000;JUN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;36890,9021
2000;JUL;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;35342,4407
2000;DEZ;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;42537,3198
2000;JAN;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;14332
2000;OUT;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;38868,4263
2000;NOV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;42590,2725
2000;DEZ;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;6552
2000;JAN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;34317,837
2000;OUT;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;6084,8
2000;NOV;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;5578
2000;ABR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;36548,6562
2000;MAI;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;38189,3999
2000;FEV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;34013,9755
2000;MAR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;37307,9332
2000;FEV;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;13316
2000;JAN;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;51915,8339
2000;FEV;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;41974,4128
2000;NOV;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;7620,3
2000;DEZ;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;14849
2000;MAI;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;50725,7017
2000;JUN;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;47060,8747
2000;MAR;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;43248,1138
2000;ABR;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;47077,5984
2000;MAI;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;13921
